id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",
2,1,0,0,ssssssssssssssssssssssssssssssssss,
3,3980743,0,0,jklasbjklabklbjklskjlgabjk,
4,4854687,0,0,jckhvsakjvhksyhk,
5,1796413,0,0,afkdjfjkdahfjkaadfdNANNANNANANAN,
6,1092940,0,0,dhadsgfdfffffff,
7,9011796,0,0,jckdahfkjdashfjkdasfjds,
8,183592,0,0,jgshshgjsasgjgsagf,
0,8116061,0,0,jdsgdjhvbfjadb,
0,2593189,0,0,vfsvfasbfagbad,
2,2763391,0,2,kídgufkeghfkjEGH,
5,1547115253,0,5,gdxgrsgsgrs,
1,1547115271,0,1,jjvbhvhvmh,
6,1547209354,0,6,jzjhbhjvhvjvhvjvhj,
